feature,HIGH_VOL_importance
z_vol,0.12537655
price_zscore_200d,0.04691179
vol_trend,0.030304499
mom_3m,0.029950025
mom_6m,0.025985649
mom_12m,0.023383988
atr_pct,0.023243228
bb_lower,0.01939166
volume_std,0.017026065
mean_rev_60d,0.015577254
vol_60d,0.010084993
bb_middle,0.009965427
price_zscore_50d,0.009484651
macd,0.008337322
atr_14,0.007933552
mom_1m,0.0078981
vol_20d,0.007222541
mom_12_1,0.004548243
mean_rev_20d,0.0029949215
bb_width,0.0027118644
volume_ratio,0.002486642
bb_upper,0.002187081
rsi_mean_rev_z,0.0017767467
alpha_mean_reversion,0.0016049168
bb_pct,0.0012841156
macd_signal,0.0012107848
volume_z,0.0010249952
rsi_14,0.0009930087
price_zscore_50d_z,0.0009438493
macd_hist,0.0008502564
volume_trend,0.0007309558
daily_range,0.00066478393
rsi_mean_rev,0.0006575462
mom_6m_rank,0.000576665
price_zscore_20d,0.00045281256
bb_mean_rev_z,0.00020948531
bb_mean_rev,0.00020691218
log_return,0.00016601784
mom_1w,0.00014758932
gap_pct,0.00011982466
vol_rank,0.000108578795
mom_12_1_rank_z,9.402219e-05
close_position,6.680281e-05
mom_1m_rank_pct,2.8117583e-05
mom_3m_rank_pct,0.0
mom_decile,0.0
mom_12_1_rank,0.0
mom_3m_rank,0.0
alpha_momentum,0.0
mom_3m_rank_z,0.0
mom_6m_rank_z,0.0
alpha_combined,0.0
