feature,LOW_VOL_importance
bb_middle,0.09640863
z_vol,0.09218169
bb_upper,0.06962162
bb_width,0.05871164
atr_pct,0.05287637
mom_12m,0.043755747
atr_14,0.030605124
vol_trend,0.022933306
vol_60d,0.020076731
mom_12_1,0.019044608
macd,0.01863689
macd_signal,0.0174713
volume_std,0.016088774
mom_6m,0.015853563
bb_lower,0.011857008
mom_12_1_rank_z,0.0050857738
volume_trend,0.0046307114
vol_20d,0.0043869046
mom_12_1_rank,0.003161271
mean_rev_60d,0.0024916946
mom_1m,0.0022458828
bb_mean_rev_z,0.002006674
alpha_combined,0.0019414057
macd_hist,0.0015177331
mom_3m,0.0011811112
bb_pct,0.0011430237
price_zscore_200d,0.00046009893
mom_6m_rank,0.0004069114
price_zscore_50d,0.0004064118
gap_pct,0.00027293977
mom_1w,0.00025209333
alpha_mean_reversion,0.00025120963
rsi_mean_rev_z,0.00023892564
alpha_momentum,0.00022475923
mean_rev_20d,0.00020688651
bb_mean_rev,0.00019846726
mom_3m_rank_pct,0.00015343746
price_zscore_50d_z,7.823365e-05
volume_ratio,6.4118125e-05
rsi_14,5.5486602e-05
log_return,2.0470985e-05
mom_1m_rank_pct,1.4982443e-05
volume_z,0.0
mom_3m_rank,0.0
vol_rank,0.0
rsi_mean_rev,0.0
price_zscore_20d,0.0
mom_decile,0.0
daily_range,0.0
close_position,0.0
mom_6m_rank_z,0.0
mom_3m_rank_z,0.0
