feature,NORMAL_VOL_importance
bb_middle,0.1018088
vol_60d,0.055868488
z_vol,0.042935953
bb_upper,0.037365813
bb_lower,0.024107669
alpha_combined,0.017223356
price_zscore_50d_z,0.016396964
mom_12m,0.015133911
bb_width,0.014570576
vol_trend,0.01172156
atr_14,0.010001682
atr_pct,0.00980616
bb_mean_rev_z,0.008231166
volume_std,0.0080591375
mom_12_1,0.0046892106
macd_signal,0.0027616168
mom_3m,0.0026464977
vol_20d,0.0025564411
rsi_mean_rev_z,0.0023473937
mom_1m,0.0018338965
alpha_mean_reversion,0.0016029517
mom_6m,0.0015952444
macd_hist,0.0012717539
price_zscore_200d,0.0011395527
volume_trend,0.0011333312
macd,0.00083373254
mean_rev_60d,0.0006816905
mom_6m_rank_z,0.0004645585
volume_ratio,0.00039636443
mom_1w,0.00037470314
mom_3m_rank_pct,0.00033822123
rsi_mean_rev,0.00020544113
daily_range,0.00019544746
mom_3m_rank_z,0.0001895183
mom_12_1_rank,0.00014618508
gap_pct,0.00012683812
close_position,0.000101047845
bb_pct,7.726556e-05
volume_z,5.4027358e-05
mean_rev_20d,4.3381984e-05
rsi_14,0.0
mom_1m_rank_pct,0.0
log_return,0.0
mom_6m_rank,0.0
vol_rank,0.0
bb_mean_rev,0.0
price_zscore_20d,0.0
price_zscore_50d,0.0
mom_decile,0.0
mom_3m_rank,0.0
mom_12_1_rank_z,0.0
alpha_momentum,0.0
